Component ID,Component Name,ST,Supplier Number,Supplier Name,Open Units,Safety Stock,Units in RI,PO Units Past Due,MonthNo,Sum of Available,PO Units Due,Monthly Starts
U40411 EOP,CTN FLD PERF REV WIRE,P,364950,CARTONNAGES OTICR,3450,1000,0,15750,2023-06-01 00:00:00,19200,0,0
U40411 EOP,CTN FLD PERF REV WIRE,P,364950,CARTONNAGES OTICR,3450,1000,0,15750,2023-07-01 00:00:00,19200,0,0
U40411 EOP,CTN FLD PERF REV WIRE,P,364950,CARTONNAGES OTICR,3450,1000,0,15750,2023-08-01 00:00:00,19200,0,0
U40411 EOP,CTN FLD PERF REV WIRE,P,364950,CARTONNAGES OTICR,3450,1000,0,15750,2023-09-01 00:00:00,19200,0,0
U40411 EOP,CTN FLD PERF REV WIRE,P,364950,CARTONNAGES OTICR,3450,1000,0,15750,2023-10-01 00:00:00,19200,0,0
U40411 EOP,CTN FLD PERF REV WIRE,P,364950,CARTONNAGES OTICR,3450,1000,0,15750,2023-11-01 00:00:00,19200,0,0
U40411 EOP,CTN FLD PERF REV WIRE,P,364950,CARTONNAGES OTICR,3450,1000,0,15750,2023-12-01 00:00:00,19200,0,0
U40411 EOP,CTN FLD PERF REV WIRE,P,364950,CARTONNAGES OTICR,3450,1000,0,15750,2024-01-01 00:00:00,19200,0,0
U40411 EOP,CTN FLD PERF REV WIRE,P,364950,CARTONNAGES OTICR,3450,1000,0,15750,2024-02-01 00:00:00,19200,0,0
U40411 EOP,CTN FLD PERF REV WIRE,P,364950,CARTONNAGES OTICR,3450,1000,0,15750,2024-03-01 00:00:00,19200,0,0
U40411 EOP,CTN FLD PERF REV WIRE,P,364950,CARTONNAGES OTICR,3450,1000,0,15750,2024-04-01 00:00:00,19200,0,0
U40411 EOP,CTN FLD PERF REV WIRE,P,364950,CARTONNAGES OTICR,3450,1000,0,15750,2024-05-01 00:00:00,19200,0,0
U40411 EOP,CTN FLD PERF REV WIRE,P,364950,CARTONNAGES OTICR,3450,1000,0,15750,2024-06-01 00:00:00,19200,0,0
U40411 EOP,CTN FLD PERF REV WIRE,P,364950,CARTONNAGES OTICR,3450,1000,0,15750,2024-07-01 00:00:00,19200,0,0
U40411 EOP,CTN FLD PERF REV WIRE,P,364950,CARTONNAGES OTICR,3450,1000,0,15750,2024-08-01 00:00:00,19200,0,0
U40411 EOP,CTN FLD PERF REV WIRE,P,364950,CARTONNAGES OTICR,3450,1000,0,15750,2024-09-01 00:00:00,19200,0,0
U40411 EOP,CTN FLD PERF REV WIRE,P,364950,CARTONNAGES OTICR,3450,1000,0,15750,2024-10-01 00:00:00,19200,0,0
U40411 EOP,CTN FLD PERF REV WIRE,P,364950,CARTONNAGES OTICR,3450,1000,0,15750,2024-11-01 00:00:00,19200,0,0
123413,CAST PELLET POP AND DBM,P,363502,SUPPORT ITEM -NO SUPPLIER,0,0,0,0,2023-06-01 00:00:00,0,0,0
123413,CAST PELLET POP AND DBM,P,363502,SUPPORT ITEM -NO SUPPLIER,0,0,0,0,2023-07-01 00:00:00,0,0,0
123413,CAST PELLET POP AND DBM,P,363502,SUPPORT ITEM -NO SUPPLIER,0,0,0,0,2023-08-01 00:00:00,0,0,0
123413,CAST PELLET POP AND DBM,P,363502,SUPPORT ITEM -NO SUPPLIER,0,0,0,0,2023-09-01 00:00:00,0,0,0
123413,CAST PELLET POP AND DBM,P,363502,SUPPORT ITEM -NO SUPPLIER,0,0,0,0,2023-10-01 00:00:00,0,0,0
123413,CAST PELLET POP AND DBM,P,363502,SUPPORT ITEM -NO SUPPLIER,0,0,0,0,2023-11-01 00:00:00,0,0,0
